Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms)
00:00:00.000+01:00,00:15:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
00:15:00.000+01:00,00:30:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
00:30:00.000+01:00,00:45:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
00:45:00.000+01:00,01:00:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
01:00:00.000+01:00,01:15:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
01:15:00.000+01:00,01:30:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
01:30:00.000+01:00,01:45:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
01:45:00.000+01:00,02:00:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
02:00:00.000+01:00,02:15:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
02:15:00.000+01:00,02:30:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
02:30:00.000+01:00,02:45:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
02:45:00.000+01:00,03:00:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
03:00:00.000+01:00,03:15:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
03:15:00.000+01:00,03:30:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
03:30:00.000+01:00,03:45:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
03:45:00.000+01:00,04:00:00.000+01:00,18.84895730186103,,,,,,,,,,,,,,,,900000,
